ts_code,symbol,name,area,industry,fullname,enname,market,exchange_id,curr_type,list_status,list_date,delist_date,is_hs
000038.SZ,000038,深大通,深圳,广告包装,深圳大通实业股份有限公司,Shenzhen Capstone Industrial Co., Ltd.,主板,SZSE,CNY,L,1994-08-08,,N
000039.SZ,000039,中集集团,深圳,轻工机械,中国国际海运集装箱(集团)股份有限公司,China International Marine Containers (Group) Co., Ltd,主板,SZSE,CNY,L,1994-04-08,,S
000040.SZ,000040,东旭蓝天,深圳,新型电力,东旭蓝天新能源股份有限公司,Tunghsu Azure Renewable Energy Co., Ltd.,主板,SZSE,CNY,L,1994-08-08,,S
000042.SZ,000042,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,Shenzhen Centralcon Investment Holdings Co., Ltd,主板,SZSE,CNY,L,1994-09-21,,S
000043.SZ,000043,中航善达,深圳,房产服务,中航善达股份有限公司,AVIC SUNDA HOLDING COMPANY LIMITED,主板,SZSE,CNY,L,1994-09-28,,S
000045.SZ,000045,深纺织A,深圳,纺织,深圳市纺织(集团)股份有限公司,Shenzhen Textile (Holdings) Co.,Ltd.,主板,SZSE,CNY,L,1994-08-15,,N
000046.SZ,000046,泛海控股,北京,全国地产,泛海控股股份有限公司,Oceanwide Holdings Co., Ltd.,主板,SZSE,CNY,L,1994-09-12,,S
000047.SZ,000047,ST中侨(退市),None,None,深圳市中侨发展股份有限公司,Shenzhen Overglobe Development Co.,Ltd.,主板,SZSE,CNY,D,1994-10-21,2003-05-30,N
000048.SZ,000048,*ST康达,深圳,饲料,深圳市康达尔(集团)股份有限公司,Shenzhen Kondarl (Group) Co.,Ltd.,主板,SZSE,CNY,L,1994-11-01,,N
000049.SZ,000049,德赛电池,深圳,电气设备,深圳市德赛电池科技股份有限公司,Shenzhen Desay Battery Technology Co., Ltd.,主板,SZSE,CNY,L,1995-03-20,,S
000050.SZ,000050,深天马A,深圳,元器件,天马微电子股份有限公司,Tianma Microelectronics Co.,Ltd.,主板,SZSE,CNY,L,1995-03-15,,S
000055.SZ,000055,方大集团,深圳,其他建材,方大集团股份有限公司,China Fangda Group Co.,Ltd.,主板,SZSE,CNY,L,1996-04-15,,N
000056.SZ,000056,皇庭国际,深圳,房产服务,深圳市皇庭国际企业股份有限公司,Shenzhen Wongtee International Enterprise Co., Ltd.,主板,SZSE,CNY,L,1996-07-08,,N
000058.SZ,000058,深赛格,深圳,元器件,深圳赛格股份有限公司,Shenzhen Seg Co.,Ltd.,主板,SZSE,CNY,L,1996-12-26,,S
000059.SZ,000059,华锦股份,辽宁,石油加工,北方华锦化学工业股份有限公司,North Huajin Industries Co.,Ltd,主板,SZSE,CNY,L,1997-01-30,,S
000060.SZ,000060,中金岭南,深圳,铅锌,深圳市中金岭南有色金属股份有限公司,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,主板,SZSE,CNY,L,1997-01-23,,S
000061.SZ,000061,农产品,深圳,农业综合,深圳市农产品股份有限公司,Shenzhen Agricultural Products Co.,Ltd.,主板,SZSE,CNY,L,1997-01-10,,S
000062.SZ,000062,深圳华强,深圳,批发业,深圳华强实业股份有限公司,Shenzhen Huaqiang Industry Co.,Ltd,主板,SZSE,CNY,L,1997-01-30,,S
000063.SZ,000063,中兴通讯,深圳,通信设备,中兴通讯股份有限公司,ZTE Corporation,主板,SZSE,CNY,L,1997-11-18,,S
000065.SZ,000065,北方国际,北京,建筑施工,北方国际合作股份有限公司,NORINCO International Cooperation Ltd.,主板,SZSE,CNY,L,1998-06-05,,S
000066.SZ,000066,中国长城,深圳,电脑设备,中国长城科技集团股份有限公司,China Greatwall Technology Group Co., Ltd.,主板,SZSE,CNY,L,1997-06-26,,S
000068.SZ,000068,华控赛格,深圳,元器件,深圳华控赛格股份有限公司,Shenzhen Huakong Seg Co.,Ltd.,主板,SZSE,CNY,L,1997-06-11,,N
000069.SZ,000069,华侨城A,深圳,旅游景点,深圳华侨城股份有限公司,Shenzhen Overseas Chinese Town Co.,Ltd,主板,SZSE,CNY,L,1997-09-10,,S
000070.SZ,000070,特发信息,深圳,通信设备,深圳市特发信息股份有限公司,Shenzhen SDG Information Co., Ltd.,主板,SZSE,CNY,L,2000-05-11,,S
000078.SZ,000078,海王生物,深圳,生物制药,深圳市海王生物工程股份有限公司,Shenzhen Neptunus Bioengineering Co.,Ltd,主板,SZSE,CNY,L,1998-12-18,,S
000088.SZ,000088,盐田港,深圳,港口,深圳市盐田港股份有限公司,Shenzhen Yan Tian Port Holdings Co.,Ltd,主板,SZSE,CNY,L,1997-07-28,,S
000089.SZ,000089,深圳机场,深圳,机场,深圳市机场股份有限公司,Shenzhen Airport Co.,Ltd.,主板,SZSE,CNY,L,1998-04-20,,S
000090.SZ,000090,天健集团,深圳,建筑施工,深圳市天健(集团)股份有限公司,Shenzhen Tagen Group Co., Ltd.,主板,SZSE,CNY,L,1999-07-21,,S
000096.SZ,000096,广聚能源,深圳,石油贸易,深圳市广聚能源股份有限公司,Shenzhen Guangju Energy Co.,Ltd.,主板,SZSE,CNY,L,2000-07-24,,S
000099.SZ,000099,中信海直,深圳,空运,中信海洋直升机股份有限公司,CITIC Offshore Helicopter Co., Ltd.,主板,SZSE,CNY,L,2000-07-31,,N
000100.SZ,000100,TCL集团,广东,家用电器,TCL集团股份有限公司,TCL Corporation,主板,SZSE,CNY,L,2004-01-30,,S
000150.SZ,000150,宜华健康,广东,医疗保健,宜华健康医疗股份有限公司,Yihua Healthcare Co.,Ltd.,主板,SZSE,CNY,L,2000-08-07,,S
000151.SZ,000151,中成股份,北京,商贸代理,中成进出口股份有限公司,China National Complete Plant Import & Export Corporation Limited,主板,SZSE,CNY,L,2000-09-06,,N
