ts_code,symbol,name,area,industry,fullname,enname,market,exchange_id,curr_type,list_status,list_date,delist_date,is_hs
002253.SZ,002253,川大智胜,四川,软件服务,四川川大智胜软件股份有限公司,Wisesoft Co.,Ltd.,中小板,SZSE,CNY,L,2008-06-23,,N
002254.SZ,002254,泰和新材,山东,化纤,烟台泰和新材料股份有限公司,Yantai Tayho Advanced Materials Co.,Ltd.,中小板,SZSE,CNY,L,2008-06-25,,S
002255.SZ,002255,海陆重工,江苏,专用机械,苏州海陆重工股份有限公司,Suzhou Hailu Heavy Industry Co.,Ltd,中小板,SZSE,CNY,L,2008-06-25,,N
002256.SZ,002256,兆新股份,深圳,染料涂料,深圳市兆新能源股份有限公司,Shenzhen Sunrise New Energy Co., Ltd.,中小板,SZSE,CNY,L,2008-06-25,,S
002258.SZ,002258,利尔化学,四川,农药化肥,利尔化学股份有限公司,Lier Chemical Co.,Ltd.,中小板,SZSE,CNY,L,2008-07-08,,S
002259.SZ,002259,ST升达,四川,供气供热,四川升达林业产业股份有限公司,SICHUAN SHENGDA FORESTRY INDUSTRY CO., LTD,中小板,SZSE,CNY,L,2008-07-16,,N
002260.SZ,002260,*ST德奥,广东,航空,德奥通用航空股份有限公司,DEA General Aviation Holding Co., Ltd.,中小板,SZSE,CNY,L,2008-07-16,,N
002261.SZ,002261,拓维信息,湖南,互联网,拓维信息系统股份有限公司,Talkweb Information System Co.,Ltd.,中小板,SZSE,CNY,L,2008-07-23,,S
002262.SZ,002262,恩华药业,江苏,化学制药,江苏恩华药业股份有限公司,Jiangsu Nhwa Pharmaceutical Co.,Ltd,中小板,SZSE,CNY,L,2008-07-23,,S
002263.SZ,002263,*ST东南,浙江,塑料,浙江大东南股份有限公司,Zhejiang Great Southeast Company,limited,中小板,SZSE,CNY,L,2008-07-28,,N
002264.SZ,002264,新华都,福建,超市连锁,新华都购物广场股份有限公司,New Huadu Supercenter Co.,Ltd.,中小板,SZSE,CNY,L,2008-07-31,,N
002265.SZ,002265,西仪股份,云南,汽车配件,云南西仪工业股份有限公司,Yunnan Xiyi Industrial Co., Ltd.,中小板,SZSE,CNY,L,2008-08-06,,N
002266.SZ,002266,浙富控股,浙江,电气设备,浙富控股集团股份有限公司,Zhefu Holding Group Co.,Ltd,中小板,SZSE,CNY,L,2008-08-06,,S
002267.SZ,002267,陕天然气,陕西,供气供热,陕西省天然气股份有限公司,Shaanxi Provincial Natural Gas Co.,Ltd.,中小板,SZSE,CNY,L,2008-08-13,,S
002268.SZ,002268,卫士通,四川,软件服务,成都卫士通信息产业股份有限公司,Westone Information Industry Inc.,中小板,SZSE,CNY,L,2008-08-11,,S
002269.SZ,002269,美邦服饰,上海,服饰,上海美特斯邦威服饰股份有限公司,Shanghai Metersbonwe Fashion & Accessories Co.,Ltd.,中小板,SZSE,CNY,L,2008-08-28,,S
002270.SZ,002270,华明装备,山东,电气设备,华明电力装备股份有限公司,Huaming Power Equipment Co., Ltd.,中小板,SZSE,CNY,L,2008-09-05,,N
002271.SZ,002271,东方雨虹,北京,其他建材,北京东方雨虹防水技术股份有限公司,Beijing Oriental Yuhong Waterproof Technology Co.,Ltd.,中小板,SZSE,CNY,L,2008-09-10,,S
002272.SZ,002272,川润股份,四川,机械基件,四川川润股份有限公司,Sichuan Crun Co., Ltd,中小板,SZSE,CNY,L,2008-09-19,,N
002273.SZ,002273,水晶光电,浙江,元器件,浙江水晶光电科技股份有限公司,Zhejiang Crystal-Optech Co., Ltd,中小板,SZSE,CNY,L,2008-09-19,,S
002274.SZ,002274,华昌化工,江苏,农药化肥,江苏华昌化工股份有限公司,Jiangsu Huachang Chemical Co., Ltd,中小板,SZSE,CNY,L,2008-09-25,,N
002275.SZ,002275,桂林三金,广西,中成药,桂林三金药业股份有限公司,Guilin Sanjin Pharmaceutical Co.,Ltd,中小板,SZSE,CNY,L,2009-07-10,,S
002276.SZ,002276,万马股份,浙江,电气设备,浙江万马股份有限公司,Zhejiang Wanma Co., Ltd.,中小板,SZSE,CNY,L,2009-07-10,,S
002277.SZ,002277,友阿股份,湖南,百货,湖南友谊阿波罗商业股份有限公司,Hunan Friendship&Apollo Commercial Co.,Ltd.,中小板,SZSE,CNY,L,2009-07-17,,S
002278.SZ,002278,神开股份,上海,化工机械,上海神开石油化工装备股份有限公司,Shanghai SK Petroleum & Chemical Equipment Corporation Ltd,中小板,SZSE,CNY,L,2009-08-11,,N
002279.SZ,002279,久其软件,北京,软件服务,北京久其软件股份有限公司,Beijing Join-Cheer Software Co.,Ltd.,中小板,SZSE,CNY,L,2009-08-11,,S
002280.SZ,002280,联络互动,浙江,软件服务,杭州联络互动信息科技股份有限公司,Hangzhou  Lianluo Interactive Information Technology Co., Ltd,中小板,SZSE,CNY,L,2009-08-21,,S
002281.SZ,002281,光迅科技,湖北,通信设备,武汉光迅科技股份有限公司,Accelink Technologies Co.,Ltd.,中小板,SZSE,CNY,L,2009-08-21,,S
002282.SZ,002282,博深工具,河北,轻工机械,博深工具股份有限公司,Bosun Tools Co., Ltd.,中小板,SZSE,CNY,L,2009-08-21,,N
002283.SZ,002283,天润曲轴,山东,汽车配件,天润曲轴股份有限公司,Tianrun Crankshaft Co.,Ltd.,中小板,SZSE,CNY,L,2009-08-21,,S
002284.SZ,002284,亚太股份,浙江,汽车配件,浙江亚太机电股份有限公司,Zhejiang Asia-Pacific Mechanical& Electronic Co.,Ltd,中小板,SZSE,CNY,L,2009-08-28,,S
002285.SZ,002285,世联行,深圳,房产服务,深圳世联行地产顾问股份有限公司,Shenzhen Worldunion Properties Consultancy Incorporated,中小板,SZSE,CNY,L,2009-08-28,,S
002286.SZ,002286,保龄宝,山东,食品,保龄宝生物股份有限公司,Baolingbao Biology Co., Ltd.,中小板,SZSE,CNY,L,2009-08-28,,N
002287.SZ,002287,奇正藏药,西藏,中成药,西藏奇正藏药股份有限公司,Tibet Cheezheng Tibetan Medicine Co.,Ltd,中小板,SZSE,CNY,L,2009-08-28,,S
002288.SZ,002288,超华科技,广东,元器件,广东超华科技股份有限公司,Guangdong Chaohua Technology Co.,Ltd,中小板,SZSE,CNY,L,2009-09-03,,N
002289.SZ,002289,宇顺电子,深圳,元器件,深圳市宇顺电子股份有限公司,Shenzhen Success Electronics Co., Ltd,中小板,SZSE,CNY,L,2009-09-03,,N
002290.SZ,002290,中科新材,江苏,家用电器,苏州中科创新型材料股份有限公司,SUZHOU CHINA CREATE SPECIAL MATERIAL CO.,LTD,中小板,SZSE,CNY,L,2009-09-03,,N
002291.SZ,002291,星期六,广东,服饰,星期六股份有限公司,Saturday Co.,Ltd,中小板,SZSE,CNY,L,2009-09-03,,N
002292.SZ,002292,奥飞娱乐,广东,影视音像,奥飞娱乐股份有限公司,Alpha Group,中小板,SZSE,CNY,L,2009-09-10,,S
002293.SZ,002293,罗莱生活,江苏,纺织,罗莱生活科技股份有限公司,Luolai Lifestyle Technology Co.,Ltd.,中小板,SZSE,CNY,L,2009-09-10,,S
002294.SZ,002294,信立泰,深圳,化学制药,深圳信立泰药业股份有限公司,Shenzhen Salubris Pharmaceuticals Co., Ltd.,中小板,SZSE,CNY,L,2009-09-10,,S
002295.SZ,002295,精艺股份,广东,铜,广东精艺金属股份有限公司,Guangdong Jingyi Metal Co., Ltd.,中小板,SZSE,CNY,L,2009-09-29,,N
002296.SZ,002296,辉煌科技,河南,通信设备,河南辉煌科技股份有限公司,Henan Splendor Science & Technology Co., Ltd.,中小板,SZSE,CNY,L,2009-09-29,,N
002297.SZ,002297,博云新材,湖南,矿物制品,湖南博云新材料股份有限公司,Hunan Boyun New Materials Co.,Ltd.,中小板,SZSE,CNY,L,2009-09-29,,N
002298.SZ,002298,中电兴发,安徽,软件服务,安徽中电兴发与鑫龙科技股份有限公司,Anhui Sinonet & Xinlong Science & Technology Co., Ltd.,中小板,SZSE,CNY,L,2009-09-29,,S
002299.SZ,002299,圣农发展,福建,农业综合,福建圣农发展股份有限公司,Fujian Sunner Development Co.,Ltd.,中小板,SZSE,CNY,L,2009-10-21,,S
002300.SZ,002300,太阳电缆,福建,电气设备,福建南平太阳电缆股份有限公司,Fujian Nanping Sun Cable Co., Ltd.,中小板,SZSE,CNY,L,2009-10-21,,N
002301.SZ,002301,齐心集团,深圳,文教休闲,深圳齐心集团股份有限公司,Shenzhen Comix Group Co., Ltd.,中小板,SZSE,CNY,L,2009-10-21,,S
002302.SZ,002302,西部建设,新疆,水泥,中建西部建设股份有限公司,China West Construction Group Co.,Ltd,中小板,SZSE,CNY,L,2009-11-03,,S
002303.SZ,002303,美盈森,深圳,造纸,美盈森集团股份有限公司,Mys Group Co., Ltd.,中小板,SZSE,CNY,L,2009-11-03,,S
002304.SZ,002304,洋河股份,江苏,白酒,江苏洋河酒厂股份有限公司,Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.,中小板,SZSE,CNY,L,2009-11-06,,S
002305.SZ,002305,南国置业,湖北,区域地产,南国置业股份有限公司,Langold Real Estate Co., Ltd,中小板,SZSE,CNY,L,2009-11-06,,S
002306.SZ,002306,*ST云网,北京,酒店餐饮,中科云网科技集团股份有限公司,Cloud Live Technology Group Co.,Ltd.,中小板,SZSE,CNY,L,2009-11-11,,N
002307.SZ,002307,北新路桥,新疆,建筑施工,新疆北新路桥集团股份有限公司,Xinjiang Beixin Road & Bridge Group Co., Ltd,中小板,SZSE,CNY,L,2009-11-11,,S
002308.SZ,002308,威创股份,广东,电脑设备,威创集团股份有限公司,Vtron Group Co.,Ltd.,中小板,SZSE,CNY,L,2009-11-27,,S
002309.SZ,002309,中利集团,江苏,电气设备,江苏中利集团股份有限公司,Jiangsu Zhongli Group Co.,Ltd,中小板,SZSE,CNY,L,2009-11-27,,S
002310.SZ,002310,东方园林,北京,建筑施工,北京东方园林环境股份有限公司,Beijing Orient Landscape & Environment Co.,Ltd.,中小板,SZSE,CNY,L,2009-11-27,,S
002311.SZ,002311,海大集团,广东,饲料,广东海大集团股份有限公司,Guangdong Haid Group Co.,Limited,中小板,SZSE,CNY,L,2009-11-27,,S
002312.SZ,002312,三泰控股,四川,电脑设备,成都三泰控股集团股份有限公司,Chengdu Santai Holding Group Co.,Ltd.,中小板,SZSE,CNY,L,2009-12-03,,N
002313.SZ,002313,日海智能,深圳,通信设备,日海智能科技股份有限公司,Sunsea AIoT Technology Co., Ltd.,中小板,SZSE,CNY,L,2009-12-03,,S
002314.SZ,002314,南山控股,深圳,区域地产,深圳市新南山控股(集团)股份有限公司,Shenzhen New Nanshan Holding (Group) Co.,Ltd,中小板,SZSE,CNY,L,2009-12-03,,S
002315.SZ,002315,焦点科技,江苏,互联网,焦点科技股份有限公司,Focus Technology Co., Ltd.,中小板,SZSE,CNY,L,2009-12-09,,N
002316.SZ,002316,亚联发展,深圳,软件服务,深圳亚联发展科技股份有限公司,Shenzhen Asia Link Technology Development Co.,Ltd.,中小板,SZSE,CNY,L,2009-12-09,,N
002317.SZ,002317,众生药业,广东,中成药,广东众生药业股份有限公司,Guangdong Zhongsheng Pharmaceutical Co.,Ltd.,中小板,SZSE,CNY,L,2009-12-11,,S
002318.SZ,002318,久立特材,浙江,特种钢,浙江久立特材科技股份有限公司,Zhejiang JIULI Hi-tech Metals Co., Ltd.,中小板,SZSE,CNY,L,2009-12-11,,N
002319.SZ,002319,乐通股份,广东,染料涂料,珠海市乐通化工股份有限公司,Letong Chemical Co.,Ltd,中小板,SZSE,CNY,L,2009-12-11,,N
002320.SZ,002320,海峡股份,海南,水运,海南海峡航运股份有限公司,Hainan Strait Shipping Co.,Ltd,中小板,SZSE,CNY,L,2009-12-16,,S
002321.SZ,002321,华英农业,河南,农业综合,河南华英农业发展股份有限公司,Henan Huaying Agricultural Development Co., Ltd.,中小板,SZSE,CNY,L,2009-12-16,,N
002322.SZ,002322,理工环科,浙江,环境保护,宁波理工环境能源科技股份有限公司,Ningbo Ligong Environment and Energy Technology Co.,Ltd,中小板,SZSE,CNY,L,2009-12-18,,S
002323.SZ,002323,*ST百特,江苏,建筑施工,江苏雅百特科技股份有限公司,Jiangsu Yabaite Technology Co.,Ltd.,中小板,SZSE,CNY,L,2009-12-18,,N
002324.SZ,002324,普利特,上海,塑料,上海普利特复合材料股份有限公司,Shanghai PRET Composites Co.,Ltd.,中小板,SZSE,CNY,L,2009-12-18,,S
002325.SZ,002325,洪涛股份,深圳,装修装饰,深圳市洪涛装饰股份有限公司,Shenzhen Hongtao Decoration Co.,Ltd.,中小板,SZSE,CNY,L,2009-12-22,,S
002326.SZ,002326,永太科技,浙江,化工原料,浙江永太科技股份有限公司,Zhejiang Yongtai Technology Co.,Ltd.,中小板,SZSE,CNY,L,2009-12-22,,S
002327.SZ,002327,富安娜,深圳,纺织,深圳市富安娜家居用品股份有限公司,Shenzhen Fuanna Bedding and Furnishing Co.,Ltd.,中小板,SZSE,CNY,L,2009-12-30,,S
002328.SZ,002328,新朋股份,上海,汽车配件,上海新朋实业股份有限公司,Shanghai Xinpeng Industry Co.,Ltd.,中小板,SZSE,CNY,L,2009-12-30,,N
002329.SZ,002329,皇氏集团,广西,乳制品,皇氏集团股份有限公司,Royal Group Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-06,,N
002330.SZ,002330,得利斯,山东,食品,山东得利斯食品股份有限公司,Shandong Delisi Food Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-06,,N
002331.SZ,002331,皖通科技,安徽,软件服务,安徽皖通科技股份有限公司,Anhui Wantong Technology Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-06,,N
002332.SZ,002332,仙琚制药,浙江,生物制药,浙江仙琚制药股份有限公司,Zhejiang Xianju Pharmaceutical Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-12,,S
002333.SZ,002333,罗普斯金,江苏,铝,苏州罗普斯金铝业股份有限公司,Suzhou Lopsking Aluminum Co., Ltd.,中小板,SZSE,CNY,L,2010-01-12,,N
002334.SZ,002334,英威腾,深圳,电气设备,深圳市英威腾电气股份有限公司,Shenzhen INVT Electric Co., Ltd.,中小板,SZSE,CNY,L,2010-01-13,,S
002335.SZ,002335,科华恒盛,福建,电气设备,厦门科华恒盛股份有限公司,Xiamen Kehua Hengsheng Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-13,,S
002336.SZ,002336,人人乐,深圳,超市连锁,人人乐连锁商业集团股份有限公司,Renrenle Commercial Group Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-13,,N
002337.SZ,002337,赛象科技,天津,化工机械,天津赛象科技股份有限公司,Tianjin Saixiang Technology Co.,Ltd,中小板,SZSE,CNY,L,2010-01-15,,N
002338.SZ,002338,奥普光电,吉林,电器仪表,长春奥普光电技术股份有限公司,Changchun Up Optotech Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-15,,N
002339.SZ,002339,积成电子,山东,电气设备,积成电子股份有限公司,Integrated Electronic Systems Lab Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-22,,N
002340.SZ,002340,格林美,深圳,小金属,格林美股份有限公司,GEM Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-22,,S
002341.SZ,002341,新纶科技,深圳,化工原料,深圳市新纶科技股份有限公司,Shenzhen Selen Science & Technology Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-22,,S
002342.SZ,002342,巨力索具,河北,机械基件,巨力索具股份有限公司,Juli Sling Co., Ltd.,中小板,SZSE,CNY,L,2010-01-26,,N
002343.SZ,002343,慈文传媒,浙江,影视音像,慈文传媒股份有限公司,Ciwen Media Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-26,,S
002344.SZ,002344,海宁皮城,浙江,商品城,海宁中国皮革城股份有限公司,Haining China Leather Market Co.,Ltd,中小板,SZSE,CNY,L,2010-01-26,,S
002345.SZ,002345,潮宏基,广东,服饰,广东潮宏基实业股份有限公司,Guangdong CHJ Industry Co.,Ltd.,中小板,SZSE,CNY,L,2010-01-28,,S
002346.SZ,002346,柘中股份,上海,电气设备,上海柘中集团股份有限公司,Shanghai Zhezhong Group Co., Ltd,中小板,SZSE,CNY,L,2010-01-28,,N
002347.SZ,002347,泰尔股份,安徽,机械基件,泰尔重工股份有限公司,Taier Heavy Industry Co., Ltd.,中小板,SZSE,CNY,L,2010-01-28,,N
002348.SZ,002348,高乐股份,广东,文教休闲,广东高乐股份有限公司,Goldlok Holdings (Guangdong) Co., Ltd,中小板,SZSE,CNY,L,2010-02-03,,N
002349.SZ,002349,精华制药,江苏,中成药,精华制药集团股份有限公司,Jinghua Pharmaceutical Group Co., Ltd.,中小板,SZSE,CNY,L,2010-02-03,,S
002350.SZ,002350,北京科锐,北京,电气设备,北京科锐配电自动化股份有限公司,Beijing Creative Distribution Automation Co.,Ltd,中小板,SZSE,CNY,L,2010-02-03,,N
002351.SZ,002351,漫步者,深圳,电脑设备,深圳市漫步者科技股份有限公司,Edifier Technology Co.,Ltd.,中小板,SZSE,CNY,L,2010-02-05,,N
002352.SZ,002352,顺丰控股,深圳,仓储物流,顺丰控股股份有限公司,S.F. Holding Co., Ltd.,中小板,SZSE,CNY,L,2010-02-05,,S
002353.SZ,002353,杰瑞股份,山东,化工机械,烟台杰瑞石油服务集团股份有限公司,Yantai Jereh Oilfield Services Group Co., Ltd.,中小板,SZSE,CNY,L,2010-02-05,,S
002354.SZ,002354,天神娱乐,辽宁,互联网,大连天神娱乐股份有限公司,Dalian Zeus Entertainment Co.,Ltd.,中小板,SZSE,CNY,L,2010-02-09,,S
002355.SZ,002355,兴民智通,山东,汽车配件,兴民智通(集团)股份有限公司,Xingmin Intelligent Transportation Systems (Group) Co., Ltd,中小板,SZSE,CNY,L,2010-02-09,,N
002356.SZ,002356,赫美集团,深圳,其他商业,深圳赫美集团股份有限公司,Shenzhen Hemei Group Co.,Ltd.,中小板,SZSE,CNY,L,2010-02-09,,N
002357.SZ,002357,富临运业,四川,公路,四川富临运业集团股份有限公司,Sichuan Fulin Transportation Group Co.,Ltd.,中小板,SZSE,CNY,L,2010-02-10,,N
002358.SZ,002358,森源电气,河南,电气设备,河南森源电气股份有限公司,Henan Senyuan Electric Co.,Ltd.,中小板,SZSE,CNY,L,2010-02-10,,S
002359.SZ,002359,北讯集团,深圳,钢加工,北讯集团股份有限公司,Northcom Group Co., Ltd.,中小板,SZSE,CNY,L,2010-02-10,,S
002360.SZ,002360,同德化工,山西,化工原料,山西同德化工股份有限公司,Shanxi Tond Chemical Co.,Ltd,中小板,SZSE,CNY,L,2010-03-03,,N
002361.SZ,002361,神剑股份,安徽,化工原料,安徽神剑新材料股份有限公司,Anhui Shenjian New Materials Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-03,,N
002362.SZ,002362,汉王科技,北京,电脑设备,汉王科技股份有限公司,Hanwang Technology Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-03,,N
002363.SZ,002363,隆基机械,山东,汽车配件,山东隆基机械股份有限公司,Shandong Longji Machinery Co., Ltd.,中小板,SZSE,CNY,L,2010-03-05,,N
002364.SZ,002364,中恒电气,浙江,电气设备,杭州中恒电气股份有限公司,Hangzhou Zhongheng Electric Co., Ltd.,中小板,SZSE,CNY,L,2010-03-05,,N
002365.SZ,002365,永安药业,湖北,化学制药,潜江永安药业股份有限公司,Qianjiang Yongan Pharmaceutical Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-05,,S
002366.SZ,002366,台海核电,四川,专用机械,台海玛努尔核电设备股份有限公司,Taihai Manoir Nuclear Equipment Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-12,,S
002367.SZ,002367,康力电梯,江苏,运输设备,康力电梯股份有限公司,Canny Elevator Co., Ltd.,中小板,SZSE,CNY,L,2010-03-12,,S
002368.SZ,002368,太极股份,北京,软件服务,太极计算机股份有限公司,Taiji Computer Corporation Limited,中小板,SZSE,CNY,L,2010-03-12,,S
002369.SZ,002369,卓翼科技,深圳,通信设备,深圳市卓翼科技股份有限公司,Shenzhen Zowee Technology.Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-16,,N
002370.SZ,002370,亚太药业,浙江,化学制药,浙江亚太药业股份有限公司,Zhejiang Yatai Pharmaceutical Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-16,,N
002371.SZ,002371,北方华创,北京,专用机械,北方华创科技集团股份有限公司,NAURA Technology Group Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-16,,S
002372.SZ,002372,伟星新材,浙江,其他建材,浙江伟星新型建材股份有限公司,Zhejiang Weixing New Building Materials Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-18,,S
002373.SZ,002373,千方科技,北京,软件服务,北京千方科技股份有限公司,China TransInfo Technology Co.,Ltd,中小板,SZSE,CNY,L,2010-03-18,,S
002374.SZ,002374,丽鹏股份,山东,建筑施工,山东丽鹏股份有限公司,Shandong Lipeng Co., Ltd,中小板,SZSE,CNY,L,2010-03-18,,N
002375.SZ,002375,亚厦股份,浙江,装修装饰,浙江亚厦装饰股份有限公司,Zhejiang Yasha Decoration Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-23,,S
002376.SZ,002376,新北洋,山东,电脑设备,山东新北洋信息技术股份有限公司,Shandong New Beiyang Information Technology Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-23,,S
002377.SZ,002377,国创高新,湖北,石油加工,湖北国创高新材料股份有限公司,Hubei Guochuang Hi-Tech Material Co.,Ltd,中小板,SZSE,CNY,L,2010-03-23,,N
002378.SZ,002378,章源钨业,江西,小金属,崇义章源钨业股份有限公司,Chongyi Zhangyuan Tungsten Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-31,,S
002379.SZ,002379,宏创控股,山东,铝,山东宏创铝业控股股份有限公司,Shandong Hongchuang Aluminum Industry Holding Company Limited,中小板,SZSE,CNY,L,2010-03-31,,N
002380.SZ,002380,科远股份,江苏,电气设备,南京科远自动化集团股份有限公司,Nanjing Sciyon Automation Group Co.,Ltd.,中小板,SZSE,CNY,L,2010-03-31,,N
002381.SZ,002381,双箭股份,浙江,橡胶,浙江双箭橡胶股份有限公司,Zhejiang Double Arrow Rubber Co., Ltd.,中小板,SZSE,CNY,L,2010-04-02,,N
002382.SZ,002382,蓝帆医疗,山东,医疗保健,蓝帆医疗股份有限公司,Blue Sail Medical Co.,Ltd.,中小板,SZSE,CNY,L,2010-04-02,,S
002383.SZ,002383,合众思壮,北京,通信设备,北京合众思壮科技股份有限公司,Beijing Unistrong Science & Technology Co., Ltd.,中小板,SZSE,CNY,L,2010-04-02,,S
002384.SZ,002384,东山精密,江苏,通信设备,苏州东山精密制造股份有限公司,Suzhou Dongshan Precision Manufacturing Co.,Ltd.,中小板,SZSE,CNY,L,2010-04-09,,S
002385.SZ,002385,大北农,北京,饲料,北京大北农科技集团股份有限公司,Beijing Dabeinong Technology Group Co.,Ltd,中小板,SZSE,CNY,L,2010-04-09,,S
002386.SZ,002386,天原集团,四川,化工原料,宜宾天原集团股份有限公司,Yibin Tianyuan Group Co.,Ltd.,中小板,SZSE,CNY,L,2010-04-09,,N
002387.SZ,002387,维信诺,广东,元器件,维信诺科技股份有限公司,Visionox Technology Inc.,中小板,SZSE,CNY,L,2010-04-13,,S
002388.SZ,002388,新亚制程,深圳,元器件,深圳市新亚电子制程股份有限公司,Shenzhen Sunyes Electronic Manufacturing Holding Co.,Ltd.,中小板,SZSE,CNY,L,2010-04-13,,N
002389.SZ,002389,南洋科技,浙江,元器件,浙江南洋科技股份有限公司,Zhejiang Nanyang Technology Co., Ltd.,中小板,SZSE,CNY,L,2010-04-13,,S
002390.SZ,002390,信邦制药,贵州,中成药,贵州信邦制药股份有限公司,Guizhou Xinbang Pharmaceutical Co.,Ltd,中小板,SZSE,CNY,L,2010-04-16,,S
002391.SZ,002391,长青股份,江苏,农药化肥,江苏长青农化股份有限公司,Jiangsu Changqing Agrochemical Co.,Ltd,中小板,SZSE,CNY,L,2010-04-16,,N
002392.SZ,002392,北京利尔,北京,其他建材,北京利尔高温材料股份有限公司,Beijing Lier High-Temperature Materials Co.,Ltd.,中小板,SZSE,CNY,L,2010-04-23,,N
002393.SZ,002393,力生制药,天津,化学制药,天津力生制药股份有限公司,Tianjin Lisheng Pharmaceutical Co.,Ltd.,中小板,SZSE,CNY,L,2010-04-23,,N
002394.SZ,002394,联发股份,江苏,纺织,江苏联发纺织股份有限公司,Jiangsu Lianfa Textile Co.,Ltd.,中小板,SZSE,CNY,L,2010-04-23,,N
002395.SZ,002395,双象股份,江苏,塑料,无锡双象超纤材料股份有限公司,Wuxi Double Elephant Micro Fibre Material Co.,Ltd,中小板,SZSE,CNY,L,2010-04-29,,N
002396.SZ,002396,星网锐捷,福建,通信设备,福建星网锐捷通讯股份有限公司,Fujian Star-Net Communication Co.,Ltd.,中小板,SZSE,CNY,L,2010-06-23,,S
002397.SZ,002397,梦洁股份,湖南,纺织,湖南梦洁家纺股份有限公司,Hunan Mendale Hometextile Co.,Ltd.,中小板,SZSE,CNY,L,2010-04-29,,N
002398.SZ,002398,建研集团,福建,其他建材,厦门市建筑科学研究院集团股份有限公司,Xiamen Academy of Building Research Group Co.,Ltd.,中小板,SZSE,CNY,L,2010-05-06,,N
002399.SZ,002399,海普瑞,深圳,化学制药,深圳市海普瑞药业集团股份有限公司,Shenzhen Hepalink Pharmaceutical Group Co.,Ltd.,中小板,SZSE,CNY,L,2010-05-06,,S
002400.SZ,002400,省广集团,广东,广告包装,广东省广告集团股份有限公司,Guangdong Advertising Group Co., Ltd.,中小板,SZSE,CNY,L,2010-05-06,,S
002401.SZ,002401,中远海科,上海,软件服务,中远海运科技股份有限公司,COSCO SHIPPING Technology Co., Ltd,中小板,SZSE,CNY,L,2010-05-06,,N
002402.SZ,002402,和而泰,深圳,元器件,深圳和而泰智能控制股份有限公司,Shenzhen H&T Intelligent Control Co.,Ltd.,中小板,SZSE,CNY,L,2010-05-11,,S
002403.SZ,002403,爱仕达,浙江,家用电器,浙江爱仕达电器股份有限公司,Zhejiang Aishida Electric Co., Ltd.,中小板,SZSE,CNY,L,2010-05-11,,N
002404.SZ,002404,嘉欣丝绸,浙江,纺织,浙江嘉欣丝绸股份有限公司,Zhejiang Jiaxin Silk Corp.,Ltd.,中小板,SZSE,CNY,L,2010-05-11,,N
002405.SZ,002405,四维图新,北京,软件服务,北京四维图新科技股份有限公司,Navinfo Co., Ltd.,中小板,SZSE,CNY,L,2010-05-18,,S
002406.SZ,002406,远东传动,河南,汽车配件,许昌远东传动轴股份有限公司,Xuchang Yuandong Drive Shaft Co.,Ltd.,中小板,SZSE,CNY,L,2010-05-18,,N
002407.SZ,002407,多氟多,河南,化工原料,多氟多化工股份有限公司,Do-Fluoride Chemicals Co.,Ltd.,中小板,SZSE,CNY,L,2010-05-18,,S
002408.SZ,002408,齐翔腾达,山东,化工原料,淄博齐翔腾达化工股份有限公司,Zibo Qixiang Tengda Chemical Co., Ltd.,中小板,SZSE,CNY,L,2010-05-18,,S
002409.SZ,002409,雅克科技,江苏,化工原料,江苏雅克科技股份有限公司,Jiangsu Yoke Technology Co., Ltd,中小板,SZSE,CNY,L,2010-05-25,,S
002410.SZ,002410,广联达,北京,软件服务,广联达科技股份有限公司,Glodon Company Limited,中小板,SZSE,CNY,L,2010-05-25,,S
002411.SZ,002411,必康股份,江苏,化学制药,江苏必康制药股份有限公司,JiangSu Bicon Pharmaceutical Listed Company,中小板,SZSE,CNY,L,2010-05-25,,S
002412.SZ,002412,汉森制药,湖南,中成药,湖南汉森制药股份有限公司,Hunan Hansen Pharmaceutical Co., Ltd.,中小板,SZSE,CNY,L,2010-05-25,,N
002413.SZ,002413,雷科防务,江苏,通信设备,江苏雷科防务科技股份有限公司,Jiangsu Leike Defense Technology Co., Ltd.,中小板,SZSE,CNY,L,2010-05-28,,S
